14:21:32.434 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
14:21:32.441 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
14:21:33.102 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
14:21:33.136 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
14:21:33.145 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 2
14:21:33.163 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
14:21:33.185 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
14:21:33.191 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 2
14:21:37.959 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
14:21:37.974 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
14:21:37.975 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
14:21:37.981 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
14:21:38.684 [TestNG-tests-1] INFO  BasePackage.BaseClass - Writing the data in the workbook to the final file
14:21:41.703 [TestNG-tests-1] INFO  BasePackage.BaseClass - WebDriver has been closed.
14:21:46.446 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
14:21:46.469 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
14:21:46.470 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
14:21:46.478 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
14:21:47.215 [TestNG-tests-2] INFO  BasePackage.BaseClass - Writing the data in the workbook to the final file
14:21:50.493 [TestNG-tests-2] INFO  BasePackage.BaseClass - WebDriver has been closed.
15:52:59.339 [TestNG-tests-2] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
15:53:01.123 [TestNG-tests-1] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
15:53:10.347 [TestNG-tests-1] INFO  BasePackage.BaseClass - Switching to the iframe
15:53:10.347 [TestNG-tests-2] INFO  BasePackage.BaseClass - Switching to the iframe
15:53:23.999 [TestNG-tests-2] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
15:53:24.057 [TestNG-tests-2] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
15:53:24.058 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
15:53:24.093 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
